batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,407000,1752,44000,7058
1,3,,"animation, animationmeme, youngsheldon, georgecooper, sheldon, sheldoncooper",,196000,4932,25300,2961
1,4,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4411,124200,11900
1,5,,,,331300,7012,29700,2749
1,6,,"fyp, fyp%E3%82%B7, foryou, foryoupage, tiktok",,741000,43100,85400,337700
2,0,,"fyp, dog",,659000,3930,74100,15700
2,3,,"fyp, blinkerchallenge, makeup",,1100000,4186,68300,2825
2,4,,"fyp, foryou, gaming, saloodz, foryoupage, trending, fortnite, fortnitetips",,182900,1773,17500,395
2,6,,"fyp, foryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, 5xpictures, pov, thatonefriend, bff, disneyworld",,2800000,43000,173900,58300
2,7,,"crime, theft, gift, giftcards, store, christmas, criminal, thief, saftey, security",,690900,15100,71400,128900
2,9,,"game, build, catan",,284000,1435,23100,10800
2,10,,"fyp%E3%82%B7, thegrinch, twins, finalsweek",,123600,481,15100,1333
2,12,,"serverlife, serverproblems, servertiktok, servers",,145500,0,21800,844
2,13,,,brookemonk_,203900,462,7813,279
2,16,,,,224600,3944,11700,1157
2,21,,"relatable, theonlyfamousbrian, money, laundry",,486700,1463,67400,2712
3,0,original sound - Lifewithmark,"foryou, frenchbulldog, bourboncityfrenchies, frenchbulldogpuppy, creme, cremethefrenchbulldog, frenchies, fyp, share",marks.gallery,1700000,8987,191000,17700
3,1,son original - 💐𝐵🪐,,brookemonk_,2300000,4250,131600,4055
3,3,original sound - Haley 🌙 | aemkniqht,"fu, erich, money",mezrichest,968300,16800,85900,16500
3,6,Un Millón de Primaveras - Vicente Fernández,,perla.cee,125200,559,40500,7056
4,0,FANCY (SLOWED + REVERB) - Godlike Pariah,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",inthehandsoflando,307600,537,70900,1314
4,1,Follow my insta - ‍,"shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7, nike, airforce, viral, trending, sneakers",coco_kick.io,183600,211,56900,7430
4,4,original sound - speed ups,,aylixn,3600000,12800,286000,16700
4,6,original sound - Josh Liljenquist,,joshlilj,515700,1398,19100,634
4,7,She was 11 Dr Phil - Rea,,iambriancoro,2000000,4337,209400,9268
4,8,original sound - goldenbearollie,"comedy, dogsoftiktok, dogmom, goldenretriever",goldenbearollie,1200000,13600,78100,200700
4,10,Lovin On Me - Jack Harlow,"jackharlow, lovinonme, cats, rap, hiphop, raptok, cat, catsoftiktok, fyp",chillestcat,1800000,20700,207900,77800
4,12,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,255300,5309,83900,5548
4,13,original sound - LoveSoft,"relatable, fyp",gucci_mastergirl,150300,339,11000,401
4,15,And why arent you in uniform - No context Spongebob,"therookie, timbradford, celinajuarez",ericwinter76,1700000,5582,69800,9658
4,16,original sound - Code Jaewalker,"fortnite, foryou, edit, jaewalker, ae",code_jaewalker,1900000,29800,291800,24000
4,17,Thot Shit - Megan Thee Stallion,"@lauren.clark.21, @usaflagfb, flagfootball, worlds",flagfootballclips,976000,14700,36700,3431
4,18,original sound - pythiadapodfbfnb,,pythiadapodfbfnb,136500,548,16200,501
4,20,Wondering Why - The Red Clay Strays,"@themodernproper, soup, soupseason, souptok, soupforthesoul, soupfordinner, dinner, dinnerideas, dinnerinspo, souprecipes, soupideas, soupinspo, dinnerrecipes, dinnertime, easydinner, easysouprecipe, easysouprecipes, tortellinisoup, creamytortellinisausagesoup",chacekitchen,803700,2171,299900,48100
4,21,starlinedits - Editsxborrego.🗝,"fyp, viral, foryou, flow, ootd, outfit",alessia_v28,107400,1278,8026,1336
4,23,son original - 💐𝐵🪐,,harperzilmer4,511000,3017,31500,1714
4,25,Gangsta Funktion - King Lil G,"@onekick.ru, fyp%E3%82%B7, lilwolf727, brownandproud, levis, chicano, @shakawear, fbcounty",lilwolf727,532800,2105,35000,3906
4,26,original sound - JadonRockwell,,stunnastina,1700000,15600,162000,15700
4,27,original sound - MILITANT MINDS,"capcut, iheardyoutoldyourfriend, iheardyoutoldyourfriends, trendingsong, trendingtiktok",arabella_lemonstrang13,37300,423,9062,997
